database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,8,block,NA,1,NA,2393,NA,NA
GAZP,8,block,NA,2,NA,2394,NA,NA
GAZP,8,block,NA,3,NA,2395,NA,NA
GAZP,8,plot,8_1,1,1,2396,467,0
GAZP,8,plot,8_1,1,1,2396,468,12
GAZP,8,plot,8_1,1,10,2397,467,0
GAZP,8,plot,8_1,1,10,2397,468,12
GAZP,8,plot,8_1,1,11,2398,467,0
GAZP,8,plot,8_1,1,11,2398,468,12
GAZP,8,plot,8_1,1,12,2399,467,0
GAZP,8,plot,8_1,1,12,2399,468,12
GAZP,8,plot,8_1,1,13,2400,467,0
GAZP,8,plot,8_1,1,13,2400,468,12
GAZP,8,plot,8_1,1,14,2401,467,0
GAZP,8,plot,8_1,1,14,2401,468,12
GAZP,8,plot,8_1,1,15,2402,467,0
GAZP,8,plot,8_1,1,15,2402,468,12
GAZP,8,plot,8_1,1,16,2403,467,0
GAZP,8,plot,8_1,1,16,2403,468,12
GAZP,8,plot,8_1,1,17,2404,467,0
GAZP,8,plot,8_1,1,17,2404,468,12
GAZP,8,plot,8_1,1,18,2405,467,0
GAZP,8,plot,8_1,1,18,2405,468,12
GAZP,8,plot,8_1,1,19,2406,467,0
GAZP,8,plot,8_1,1,19,2406,468,12
GAZP,8,plot,8_1,1,2,2407,467,0
GAZP,8,plot,8_1,1,2,2407,468,12
GAZP,8,plot,8_1,1,20,2408,467,0
GAZP,8,plot,8_1,1,20,2408,468,12
GAZP,8,plot,8_1,1,21,2409,467,0
GAZP,8,plot,8_1,1,21,2409,468,12
GAZP,8,plot,8_1,1,22,2410,467,0
GAZP,8,plot,8_1,1,22,2410,468,12
GAZP,8,plot,8_1,1,23,2411,467,0
GAZP,8,plot,8_1,1,23,2411,468,12
GAZP,8,plot,8_1,1,24,2412,467,0
GAZP,8,plot,8_1,1,24,2412,468,12
GAZP,8,plot,8_1,1,25,2413,467,0
GAZP,8,plot,8_1,1,25,2413,468,12
GAZP,8,plot,8_1,1,26,2414,467,0
GAZP,8,plot,8_1,1,26,2414,468,12
GAZP,8,plot,8_1,1,27,2415,467,0
GAZP,8,plot,8_1,1,27,2415,468,12
GAZP,8,plot,8_1,1,28,2416,467,0
GAZP,8,plot,8_1,1,28,2416,468,12
GAZP,8,plot,8_1,1,29,2417,467,0
GAZP,8,plot,8_1,1,29,2417,468,12
GAZP,8,plot,8_1,1,3,2418,467,0
GAZP,8,plot,8_1,1,3,2418,468,12
GAZP,8,plot,8_1,1,30,2419,467,0
GAZP,8,plot,8_1,1,30,2419,468,12
GAZP,8,plot,8_1,1,31,2420,467,0
GAZP,8,plot,8_1,1,31,2420,468,12
GAZP,8,plot,8_1,1,32,2421,467,0
GAZP,8,plot,8_1,1,32,2421,468,12
GAZP,8,plot,8_1,1,4,2422,467,0
GAZP,8,plot,8_1,1,4,2422,468,12
GAZP,8,plot,8_1,1,5,2423,467,0
GAZP,8,plot,8_1,1,5,2423,468,12
GAZP,8,plot,8_1,1,6,2424,467,0
GAZP,8,plot,8_1,1,6,2424,468,12
GAZP,8,plot,8_1,1,7,2425,467,0
