database,projectid,areaid,treatmentid
GAZP,10,3041,539
GAZP,10,3050,539
GAZP,10,3051,540
GAZP,10,3052,539
GAZP,10,3052,541
GAZP,10,3053,539
GAZP,10,3053,541
GAZP,10,3054,539
GAZP,10,3055,539
GAZP,10,3055,541
GAZP,10,3056,540
GAZP,10,3056,542
GAZP,10,3057,539
GAZP,10,3058,540
GAZP,10,3058,542
GAZP,10,3059,540
GAZP,10,3059,542
GAZP,10,3042,539
GAZP,10,3042,541
GAZP,10,3060,540
GAZP,10,3060,542
GAZP,10,3061,539
GAZP,10,3061,541
GAZP,10,3062,540
GAZP,10,3063,540
GAZP,10,3064,539
GAZP,10,3065,540
GAZP,10,3043,540
GAZP,10,3044,539
GAZP,10,3045,539
GAZP,10,3045,541
GAZP,10,3046,540
GAZP,10,3046,542
GAZP,10,3047,539
GAZP,10,3047,541
GAZP,10,3048,540
GAZP,10,3049,540
GAZP,10,3049,542
GAZP,10,3084,539
GAZP,10,3085,539
GAZP,10,3086,540
GAZP,10,3087,540
GAZP,10,3088,539
GAZP,10,3088,541
GAZP,10,3089,539
GAZP,10,3089,541
GAZP,10,3090,539
GAZP,10,3090,541
GAZP,10,3091,539
GAZP,10,3091,541
GAZP,10,3092,539
GAZP,10,3093,539
GAZP,10,3094,539
GAZP,10,3094,541
GAZP,10,3095,539
GAZP,10,3095,541
GAZP,10,3096,540
GAZP,10,3096,542
GAZP,10,3097,540
GAZP,10,3097,542
GAZP,10,3098,539
GAZP,10,3099,539
GAZP,10,3100,540
GAZP,10,3100,542
GAZP,10,3101,540
GAZP,10,3101,542
GAZP,10,3102,540
GAZP,10,3102,542
GAZP,10,3103,540
GAZP,10,3103,542
GAZP,10,3066,539
GAZP,10,3067,539
GAZP,10,3104,540
GAZP,10,3104,542
GAZP,10,3105,540
GAZP,10,3105,542
GAZP,10,3106,539
GAZP,10,3106,541
GAZP,10,3107,539
GAZP,10,3107,541
GAZP,10,3108,540
GAZP,10,3109,540
GAZP,10,3110,540
GAZP,10,3111,540
GAZP,10,3112,539
GAZP,10,3113,539
GAZP,10,3114,540
GAZP,10,3115,540
GAZP,10,3068,539
GAZP,10,3068,541
GAZP,10,3069,539
GAZP,10,3069,541
GAZP,10,3070,540
GAZP,10,3071,540
GAZP,10,3072,539
GAZP,10,3073,539
GAZP,10,3074,539
GAZP,10,3074,541
GAZP,10,3075,539
GAZP,10,3075,541
GAZP,10,3076,540
GAZP,10,3076,542
GAZP,10,3077,540
GAZP,10,3077,542
GAZP,10,3078,539
GAZP,10,3078,541
GAZP,10,3079,539
GAZP,10,3079,541
GAZP,10,3080,540
GAZP,10,3081,540
GAZP,10,3082,540
GAZP,10,3082,542
GAZP,10,3083,540
GAZP,10,3083,542
