paperid,publication_year,publication_title,publication_journal,publication_doi,publication_url
3,2012,Can initial intraspecific spatial aggregation increase multi-year coexistence by creating temporal priority?,ECOLOGICAL APPLICATIONS,10.1890/11-0818.1,http://doi.org/10.1890/11-0818.1
4,2015,Burning reveals cryptic plant diversity and promotes coexistence in a California prairie restoration experiment,Ecosphere,10.1890/ES14-00303.1,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/ES14-00303.1
