areaid,siteid,type,size,units,restoration_start_year,restoration_type,disturbance_end_year,parentid
3041,167,block,17.6,m2,2008,seeding,,
3066,167,plot,0.25,m2,2008,seeding,,3041
3067,167,plot,0.25,m2,2008,seeding,,3041
3050,167,block,17.6,m2,2008,seeding,,
3084,167,plot,0.25,m2,2008,seeding,,3050
3085,167,plot,0.25,m2,2008,seeding,,3050
3051,167,block,17.6,m2,2008,seeding,,
3086,167,plot,0.25,m2,2008,seeding,,3051
3087,167,plot,0.25,m2,2008,seeding,,3051
3052,167,block,17.6,m2,2008,seeding,,
3088,167,plot,0.25,m2,2008,seeding,,3052
3089,167,plot,0.25,m2,2008,seeding,,3052
3053,167,block,17.6,m2,2008,seeding,,
3090,167,plot,0.25,m2,2008,seeding,,3053
3091,167,plot,0.25,m2,2008,seeding,,3053
3054,167,block,17.6,m2,2008,seeding,,
3092,167,plot,0.25,m2,2008,seeding,,3054
3093,167,plot,0.25,m2,2008,seeding,,3054
3055,167,block,17.6,m2,2008,seeding,,
3094,167,plot,0.25,m2,2008,seeding,,3055
3095,167,plot,0.25,m2,2008,seeding,,3055
3056,167,block,17.6,m2,2008,seeding,,
3096,167,plot,0.25,m2,2008,seeding,,3056
3097,167,plot,0.25,m2,2008,seeding,,3056
3057,167,block,17.6,m2,2008,seeding,,
3098,167,plot,0.25,m2,2008,seeding,,3057
3099,167,plot,0.25,m2,2008,seeding,,3057
3058,167,block,17.6,m2,2008,seeding,,
3100,167,plot,0.25,m2,2008,seeding,,3058
3101,167,plot,0.25,m2,2008,seeding,,3058
3059,167,block,17.6,m2,2008,seeding,,
3102,167,plot,0.25,m2,2008,seeding,,3059
3103,167,plot,0.25,m2,2008,seeding,,3059
3042,167,block,17.6,m2,2008,seeding,,
3068,167,plot,0.25,m2,2008,seeding,,3042
3069,167,plot,0.25,m2,2008,seeding,,3042
3060,167,block,17.6,m2,2008,seeding,,
3104,167,plot,0.25,m2,2008,seeding,,3060
3105,167,plot,0.25,m2,2008,seeding,,3060
3061,167,block,17.6,m2,2008,seeding,,
3106,167,plot,0.25,m2,2008,seeding,,3061
3107,167,plot,0.25,m2,2008,seeding,,3061
3062,167,block,17.6,m2,2008,seeding,,
3108,167,plot,0.25,m2,2008,seeding,,3062
3109,167,plot,0.25,m2,2008,seeding,,3062
3063,167,block,17.6,m2,2008,seeding,,
3110,167,plot,0.25,m2,2008,seeding,,3063
3111,167,plot,0.25,m2,2008,seeding,,3063
3064,167,block,17.6,m2,2008,seeding,,
3112,167,plot,0.25,m2,2008,seeding,,3064
3113,167,plot,0.25,m2,2008,seeding,,3064
3065,167,block,17.6,m2,2008,seeding,,
3114,167,plot,0.25,m2,2008,seeding,,3065
3115,167,plot,0.25,m2,2008,seeding,,3065
3043,167,block,17.6,m2,2008,seeding,,
3070,167,plot,0.25,m2,2008,seeding,,3043
3071,167,plot,0.25,m2,2008,seeding,,3043
3044,167,block,17.6,m2,2008,seeding,,
3072,167,plot,0.25,m2,2008,seeding,,3044
3073,167,plot,0.25,m2,2008,seeding,,3044
3045,167,block,17.6,m2,2008,seeding,,
3074,167,plot,0.25,m2,2008,seeding,,3045
3075,167,plot,0.25,m2,2008,seeding,,3045
3046,167,block,17.6,m2,2008,seeding,,
3076,167,plot,0.25,m2,2008,seeding,,3046
3077,167,plot,0.25,m2,2008,seeding,,3046
3047,167,block,17.6,m2,2008,seeding,,
3078,167,plot,0.25,m2,2008,seeding,,3047
3079,167,plot,0.25,m2,2008,seeding,,3047
3048,167,block,17.6,m2,2008,seeding,,
3080,167,plot,0.25,m2,2008,seeding,,3048
3081,167,plot,0.25,m2,2008,seeding,,3048
3049,167,block,17.6,m2,2008,seeding,,
3082,167,plot,0.25,m2,2008,seeding,,3049
3083,167,plot,0.25,m2,2008,seeding,,3049
