Plot,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,A_can,D_his,E_cal,E_mic,H_ham,H_dis,I_spp,L_ser,L_gna,P_inc,P_con,P_div,P_glo,Pt_inc,S_rug,T_fru,T_his,W_muc
LF1_ALIVE15,15,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF1_ALIVE15,15,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE15,15,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
LF1_ALIVE15,15,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF1_ALIVE3,3,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE3,3,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
LF1_ALIVE3,3,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
LF1_ALIVE3,3,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE3,3,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0
LF1_ALIVE3,3,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0
LF1_ALIVE4,4,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE4,4,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
LF1_ALIVE4,4,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
LF1_ALIVE4,4,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE4,4,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
LF1_ALIVE4,4,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
LF1_ALIVE5,5,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE5,5,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,2,0
LF1_ALIVE5,5,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LF1_ALIVE5,5,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE5,5,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,0
LF1_ALIVE5,5,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0
LF1_ALIVE6,6,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
