database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,5,plot,5_1,1,1,941,208,0
GAZP,5,plot,5_1,1,2,942,208,0
GAZP,5,plot,5_1,1,3,943,208,0
GAZP,5,plot,5_10,1,1,944,209,0
GAZP,5,plot,5_10,1,2,945,209,0
GAZP,5,plot,5_10,1,3,946,209,0
GAZP,5,plot,5_100,1,1,947,210,0
GAZP,5,plot,5_100,1,2,948,210,0
GAZP,5,plot,5_100,1,3,949,210,0
GAZP,5,plot,5_101,1,1,950,211,0
GAZP,5,plot,5_101,1,2,951,211,0
GAZP,5,plot,5_101,1,3,952,211,0
GAZP,5,plot,5_102,1,1,953,212,0
GAZP,5,plot,5_102,1,2,954,212,0
GAZP,5,plot,5_102,1,3,955,212,0
GAZP,5,plot,5_103,1,1,956,213,0
GAZP,5,plot,5_103,1,2,957,213,0
GAZP,5,plot,5_103,1,3,958,213,0
GAZP,5,plot,5_104,1,1,959,214,0
GAZP,5,plot,5_105,1,1,960,215,0
GAZP,5,plot,5_105,1,2,961,215,0
GAZP,5,plot,5_105,1,3,962,215,0
GAZP,5,plot,5_106,1,1,963,216,0
GAZP,5,plot,5_106,1,2,964,216,0
GAZP,5,plot,5_106,1,3,965,216,0
GAZP,5,plot,5_107,1,1,966,217,0
GAZP,5,plot,5_108,1,1,967,218,0
GAZP,5,plot,5_108,1,2,968,218,0
GAZP,5,plot,5_108,1,3,969,218,0
GAZP,5,plot,5_109,1,1,970,219,0
GAZP,5,plot,5_109,1,2,971,219,0
GAZP,5,plot,5_109,1,3,972,219,0
GAZP,5,plot,5_11,1,1,973,220,0
GAZP,5,plot,5_11,1,3,974,220,0
GAZP,5,plot,5_110,1,1,975,221,0
GAZP,5,plot,5_110,1,3,976,221,0
GAZP,5,plot,5_111,1,1,977,222,0
GAZP,5,plot,5_111,1,3,978,222,0
GAZP,5,plot,5_112,1,1,979,223,0
GAZP,5,plot,5_112,1,3,980,223,0
GAZP,5,plot,5_113,1,1,981,224,0
GAZP,5,plot,5_113,1,2,982,224,0
GAZP,5,plot,5_113,1,3,983,224,0
GAZP,5,plot,5_114,1,1,984,225,0
GAZP,5,plot,5_115,1,1,985,226,0
GAZP,5,plot,5_115,1,2,986,226,0
GAZP,5,plot,5_115,1,3,987,226,0
GAZP,5,plot,5_116,1,1,988,227,0
GAZP,5,plot,5_116,1,2,989,227,0
GAZP,5,plot,5_116,1,3,990,227,0
GAZP,5,plot,5_117,1,1,991,228,0
GAZP,5,plot,5_117,1,2,992,228,0
GAZP,5,plot,5_117,1,3,993,228,0
GAZP,5,plot,5_118,1,1,994,229,0
GAZP,5,plot,5_118,1,3,995,229,0
GAZP,5,plot,5_119,1,1,996,230,0
GAZP,5,plot,5_119,1,2,997,230,0
GAZP,5,plot,5_119,1,3,998,230,0
GAZP,5,plot,5_12,1,1,999,231,0
GAZP,5,plot,5_12,1,2,1000,231,0
GAZP,5,plot,5_12,1,3,1001,231,0
GAZP,5,plot,5_120,1,1,1002,232,0
GAZP,5,plot,5_120,1,2,1003,232,0
GAZP,5,plot,5_120,1,3,1004,232,0
GAZP,5,plot,5_121,1,1,1005,233,0
GAZP,5,plot,5_121,1,2,1006,233,0
GAZP,5,plot,5_121,1,3,1007,233,0
GAZP,5,plot,5_122,1,1,1008,234,0
GAZP,5,plot,5_122,1,2,1009,234,0
GAZP,5,plot,5_122,1,3,1010,234,0
GAZP,5,plot,5_123,1,1,1011,235,0
GAZP,5,plot,5_123,1,2,1012,235,0
GAZP,5,plot,5_123,1,3,1013,235,0
GAZP,5,plot,5_124,1,1,1014,236,0
GAZP,5,plot,5_124,1,2,1015,236,0
GAZP,5,plot,5_124,1,3,1016,236,0
GAZP,5,plot,5_125,1,1,1017,237,0
GAZP,5,plot,5_125,1,2,1018,237,0
GAZP,5,plot,5_125,1,3,1019,237,0
GAZP,5,plot,5_126,1,1,1020,238,0
GAZP,5,plot,5_126,1,2,1021,238,0
GAZP,5,plot,5_126,1,3,1022,238,0
GAZP,5,plot,5_127,1,1,1023,239,0
GAZP,5,plot,5_127,1,2,1024,239,0
GAZP,5,plot,5_127,1,3,1025,239,0
GAZP,5,plot,5_128,1,1,1026,240,0
GAZP,5,plot,5_128,1,2,1027,240,0
GAZP,5,plot,5_128,1,3,1028,240,0
GAZP,5,plot,5_129,1,1,1029,241,0
GAZP,5,plot,5_129,1,2,1030,241,0
GAZP,5,plot,5_129,1,3,1031,241,0
GAZP,5,plot,5_13,1,1,1032,242,0
GAZP,5,plot,5_13,1,2,1033,242,0
GAZP,5,plot,5_13,1,3,1034,242,0
GAZP,5,plot,5_130,1,1,1035,243,0
GAZP,5,plot,5_130,1,2,1036,243,0
GAZP,5,plot,5_130,1,3,1037,243,0
GAZP,5,plot,5_131,1,1,1038,244,0
GAZP,5,plot,5_131,1,2,1039,244,0
GAZP,5,plot,5_131,1,3,1040,244,0
GAZP,5,plot,5_132,1,1,1041,245,0
GAZP,5,plot,5_132,1,2,1042,245,0
GAZP,5,plot,5_132,1,3,1043,245,0
GAZP,5,plot,5_133,1,1,1044,246,0
GAZP,5,plot,5_133,1,2,1045,246,0
GAZP,5,plot,5_133,1,3,1046,246,0
GAZP,5,plot,5_134,1,1,1047,247,0
GAZP,5,plot,5_134,1,2,1048,247,0
GAZP,5,plot,5_134,1,3,1049,247,0
GAZP,5,plot,5_135,1,1,1050,248,0
GAZP,5,plot,5_135,1,2,1051,248,0
GAZP,5,plot,5_135,1,3,1052,248,0
GAZP,5,plot,5_136,1,1,1053,249,0
GAZP,5,plot,5_137,1,1,1054,250,0
GAZP,5,plot,5_137,1,2,1055,250,0
GAZP,5,plot,5_137,1,3,1056,250,0
GAZP,5,plot,5_138,1,1,1057,251,0
GAZP,5,plot,5_138,1,2,1058,251,0
GAZP,5,plot,5_138,1,3,1059,251,0
GAZP,5,plot,5_139,1,1,1060,252,0
GAZP,5,plot,5_139,1,2,1061,252,0
GAZP,5,plot,5_139,1,3,1062,252,0
GAZP,5,plot,5_14,1,1,1063,253,0
GAZP,5,plot,5_14,1,2,1064,253,0
GAZP,5,plot,5_14,1,3,1065,253,0
GAZP,5,plot,5_140,1,1,1066,254,0
GAZP,5,plot,5_141,1,1,1067,255,0
GAZP,5,plot,5_142,1,1,1068,256,0
GAZP,5,plot,5_142,1,2,1069,256,0
GAZP,5,plot,5_142,1,3,1070,256,0
GAZP,5,plot,5_143,1,1,1071,257,0
GAZP,5,plot,5_143,1,2,1072,257,0
GAZP,5,plot,5_143,1,3,1073,257,0
GAZP,5,plot,5_144,1,1,1074,258,0
GAZP,5,plot,5_144,1,2,1075,258,0
GAZP,5,plot,5_144,1,3,1076,258,0
GAZP,5,plot,5_145,1,1,1077,259,0
GAZP,5,plot,5_145,1,2,1078,259,0
GAZP,5,plot,5_145,1,3,1079,259,0
GAZP,5,plot,5_146,1,1,1080,260,0
GAZP,5,plot,5_146,1,2,1081,260,0
GAZP,5,plot,5_146,1,3,1082,260,0
GAZP,5,plot,5_147,1,1,1083,261,0
GAZP,5,plot,5_147,1,3,1084,261,0
GAZP,5,plot,5_148,1,1,1085,262,0
GAZP,5,plot,5_148,1,3,1086,262,0
GAZP,5,plot,5_149,1,1,1087,263,0
GAZP,5,plot,5_149,1,3,1088,263,0
GAZP,5,plot,5_15,1,1,1089,264,0
GAZP,5,plot,5_15,1,2,1090,264,0
GAZP,5,plot,5_15,1,3,1091,264,0
GAZP,5,plot,5_150,1,1,1092,265,0
GAZP,5,plot,5_150,1,3,1093,265,0
GAZP,5,plot,5_151,1,1,1094,266,0
GAZP,5,plot,5_151,1,3,1095,266,0
GAZP,5,plot,5_152,1,1,1096,267,0
GAZP,5,plot,5_152,1,3,1097,267,0
GAZP,5,plot,5_153,1,1,1098,268,0
GAZP,5,plot,5_153,1,3,1099,268,0
GAZP,5,plot,5_154,1,1,1100,269,0
GAZP,5,plot,5_154,1,3,1101,269,0
GAZP,5,plot,5_155,1,1,1102,270,0
GAZP,5,plot,5_155,1,3,1103,270,0
GAZP,5,plot,5_156,1,1,1104,271,0
GAZP,5,plot,5_156,1,3,1105,271,0
GAZP,5,plot,5_157,1,1,1106,272,0
GAZP,5,plot,5_157,1,3,1107,272,0
GAZP,5,plot,5_158,1,1,1108,273,0
GAZP,5,plot,5_158,1,3,1109,273,0
GAZP,5,plot,5_159,1,1,1110,274,0
GAZP,5,plot,5_159,1,3,1111,274,0
GAZP,5,plot,5_16,1,1,1112,275,0
GAZP,5,plot,5_16,1,2,1113,275,0
GAZP,5,plot,5_16,1,3,1114,275,0
GAZP,5,plot,5_160,1,1,1115,276,0
GAZP,5,plot,5_160,1,3,1116,276,0
GAZP,5,plot,5_161,1,1,1117,277,0
GAZP,5,plot,5_161,1,3,1118,277,0
GAZP,5,plot,5_162,1,1,1119,278,0
GAZP,5,plot,5_162,1,3,1120,278,0
GAZP,5,plot,5_163,1,1,1121,279,0
GAZP,5,plot,5_163,1,3,1122,279,0
GAZP,5,plot,5_164,1,1,1123,280,0
GAZP,5,plot,5_164,1,3,1124,280,0
GAZP,5,plot,5_165,1,1,1125,281,0
GAZP,5,plot,5_165,1,3,1126,281,0
GAZP,5,plot,5_166,1,1,1127,282,0
GAZP,5,plot,5_166,1,3,1128,282,0
GAZP,5,plot,5_167,1,1,1129,283,0
GAZP,5,plot,5_167,1,3,1130,283,0
GAZP,5,plot,5_168,1,1,1131,284,0
GAZP,5,plot,5_168,1,3,1132,284,0
GAZP,5,plot,5_169,1,1,1133,285,0
GAZP,5,plot,5_169,1,3,1134,285,0
GAZP,5,plot,5_17,1,1,1135,286,0
GAZP,5,plot,5_17,1,2,1136,286,0
GAZP,5,plot,5_17,1,3,1137,286,0
GAZP,5,plot,5_170,1,1,1138,287,0
GAZP,5,plot,5_170,1,3,1139,287,0
GAZP,5,plot,5_171,1,1,1140,288,0
GAZP,5,plot,5_171,1,3,1141,288,0
GAZP,5,plot,5_172,1,1,1142,289,0
GAZP,5,plot,5_172,1,3,1143,289,0
GAZP,5,plot,5_173,1,1,1144,290,0
GAZP,5,plot,5_173,1,3,1145,290,0
GAZP,5,plot,5_174,1,1,1146,291,0
GAZP,5,plot,5_174,1,3,1147,291,0
GAZP,5,plot,5_175,1,1,1148,292,0
GAZP,5,plot,5_175,1,3,1149,292,0
GAZP,5,plot,5_176,1,1,1150,293,0
GAZP,5,plot,5_176,1,3,1151,293,0
GAZP,5,plot,5_177,1,1,1152,294,0
GAZP,5,plot,5_178,1,3,1153,295,0
GAZP,5,plot,5_179,1,1,1154,296,0
GAZP,5,plot,5_18,1,1,1155,297,0
GAZP,5,plot,5_18,1,2,1156,297,0
GAZP,5,plot,5_18,1,3,1157,297,0
GAZP,5,plot,5_180,1,3,1158,298,0
GAZP,5,plot,5_181,1,1,1159,299,0
GAZP,5,plot,5_182,1,1,1160,300,0
GAZP,5,plot,5_183,1,1,1161,301,0
GAZP,5,plot,5_183,1,3,1162,301,0
GAZP,5,plot,5_184,1,1,1163,302,0
GAZP,5,plot,5_184,1,3,1164,302,0
GAZP,5,plot,5_185,1,1,1165,303,0
GAZP,5,plot,5_185,1,3,1166,303,0
GAZP,5,plot,5_186,1,1,1167,304,0
GAZP,5,plot,5_186,1,3,1168,304,0
GAZP,5,plot,5_187,1,1,1169,305,0
GAZP,5,plot,5_187,1,3,1170,305,0
GAZP,5,plot,5_188,1,1,1171,306,0
GAZP,5,plot,5_188,1,3,1172,306,0
GAZP,5,plot,5_189,1,1,1173,307,0
GAZP,5,plot,5_189,1,3,1174,307,0
GAZP,5,plot,5_19,1,1,1175,308,0
GAZP,5,plot,5_19,1,2,1176,308,0
GAZP,5,plot,5_19,1,3,1177,308,0
GAZP,5,plot,5_190,1,1,1178,309,0
GAZP,5,plot,5_190,1,3,1179,309,0
GAZP,5,plot,5_191,1,1,1180,310,0
GAZP,5,plot,5_191,1,3,1181,310,0
GAZP,5,plot,5_192,1,1,1182,311,0
GAZP,5,plot,5_192,1,3,1183,311,0
GAZP,5,plot,5_193,1,1,1184,312,0
GAZP,5,plot,5_193,1,3,1185,312,0
GAZP,5,plot,5_2,1,1,1186,313,0
GAZP,5,plot,5_2,1,2,1187,313,0
GAZP,5,plot,5_2,1,3,1188,313,0
GAZP,5,plot,5_20,1,1,1189,314,0
GAZP,5,plot,5_21,1,1,1190,315,0
GAZP,5,plot,5_22,1,1,1191,316,0
GAZP,5,plot,5_23,1,1,1192,317,0
GAZP,5,plot,5_23,1,2,1193,317,0
GAZP,5,plot,5_23,1,3,1194,317,0
GAZP,5,plot,5_24,1,1,1195,318,0
GAZP,5,plot,5_24,1,2,1196,318,0
GAZP,5,plot,5_24,1,3,1197,318,0
GAZP,5,plot,5_25,1,1,1198,319,0
GAZP,5,plot,5_26,1,1,1199,320,0
