database,projectid,project_code,crosswalk_row_type,rule_source_table,source_tables,source_columns,source_speciesid,source_occurrences,historical_group,historical_order,historical_family,historical_genus,historical_species,historical_subtype,historical_subtype_name,historical_scientific_name,historical_lifeform,historical_seedmass,historical_pathway,historical_raunkiaer,historical_woodiness,historical_nfix,historical_lifespan,supabase_speciesid,supabase_species_code,supabase_group,supabase_order,supabase_family,supabase_genus,supabase_species,supabase_subtype,supabase_subtype_name,supabase_scientific_name,supabase_lifeform,mapping_status,taxonomic_change_type,source_concept_distinct,related_source_speciesid,reverse_mapping_rule,match_rate,match_unit,contextual_rule_validated,review_status,reviewed_by,review_date,decision_note,historical_artifact_file,historical_artifact_path,historical_artifact_sha256,historical_artifact_datestamp,harmonized_artifact_file,harmonized_artifact_sha256,global_crosswalk_file,global_crosswalk_sha256,generated_at_utc
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Bou_ari,162,Angiosperms,Poales,Poaceae,Bouteloua,aristidoides,,,Bouteloua aristidoides,pgrass,0.963,C4,,non-woody,yes,perennial,5415,Bou_ari,Angiosperms,Poales,Poaceae,Bouteloua,aristidoides,,,Bouteloua aristidoides,grass,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Bou_cur,146,Angiosperms,Poales,Poaceae,Bouteloua,curtipendula,,,Bouteloua curtipendula,pgrass,1.3,C4,,non-woody,yes,perennial,5416,Bou_cur,Angiosperms,Poales,Poaceae,Bouteloua,curtipendula,,,Bouteloua curtipendula,grass,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Cal_lon,13,Angiosperms,Poales,Poaceae,Calamovilfa,longifolia,,,Calamovilfa longifolia,pgrass,1.08664,C4,,non-woody,no,perennial,5485,Cal_lon,Angiosperms,Poales,Poaceae,Calamovilfa,longifolia,,,Calamovilfa longifolia,grass,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Cle_ser,41,Angiosperms,Brassicales,Cleomaceae,Cleome,serrulata,,,Cleome serrulata,aforb,6.1,C3,Therophyte,non-woody,,annual,1624,Cle_ser,Angiosperms,Brassicales,Cleomaceae,Cleome,serrulata,,,Cleome serrulata,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Dal_can,14,Angiosperms,Fabales,Fabaceae,Dalea,candida,,,Dalea candida,pforb,1.3,C3,,semi-woody,yes,perennial,2637,Dal_can,Angiosperms,Fabales,Fabaceae,Dalea,candida,,,Dalea candida,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Dal_pur,171,Angiosperms,Fabales,Fabaceae,Dalea,purpurea,,,Dalea purpurea,pforb,3.2,C3,,semi-woody,yes,perennial,2640,Dal_pur,Angiosperms,Fabales,Fabaceae,Dalea,purpurea,,,Dalea purpurea,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ech_ang,21,Angiosperms,Asterales,Asteraceae,Echinacea,angustifolia,,,Echinacea angustifolia,pforb,45.3,C3,,non-woody,no,perennial,689,Ech_ang,Angiosperms,Asterales,Asteraceae,Echinacea,angustifolia,,,Echinacea angustifolia,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ech_pur,5,Angiosperms,Asterales,Asteraceae,Echinacea,purpurea,,,Echinacea purpurea,pforb,2.4268,C3,,non-woody,no,perennial,692,Ech_pur,Angiosperms,Asterales,Asteraceae,Echinacea,purpurea,,,Echinacea purpurea,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ely_can,26,Angiosperms,Poales,Poaceae,Elymus,canadensis,,,Elymus canadensis,pgrass,4.5,C3,,non-woody,no,perennial,5568,Ely_can,Angiosperms,Poales,Poaceae,Elymus,canadensis,,,Elymus canadensis,grass,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ely_ely,38,Angiosperms,Poales,Poaceae,Elymus,elymoides,,,Elymus elymoides,pgrass,3.7636,C3,,non-woody,yes,perennial,5573,Ely_ely,Angiosperms,Poales,Poaceae,Elymus,elymoides,,,Elymus elymoides,grass,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
