database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,1,plot,1_1,1,1,1,1,0
GAZP,1,plot,1_1,1,1,1,2,1
GAZP,1,plot,1_1,1,10,2,1,0
GAZP,1,plot,1_1,1,10,2,2,1
GAZP,1,plot,1_1,1,11,3,1,0
GAZP,1,plot,1_1,1,11,3,2,1
GAZP,1,plot,1_1,1,12,4,1,0
GAZP,1,plot,1_1,1,12,4,2,1
GAZP,1,plot,1_1,1,13,5,1,0
GAZP,1,plot,1_1,1,13,5,2,1
GAZP,1,plot,1_1,1,14,6,1,0
GAZP,1,plot,1_1,1,14,6,2,1
GAZP,1,plot,1_1,1,15,7,1,0
GAZP,1,plot,1_1,1,15,7,2,1
GAZP,1,plot,1_1,1,16,8,1,0
GAZP,1,plot,1_1,1,16,8,2,1
GAZP,1,plot,1_1,1,17,9,1,0
GAZP,1,plot,1_1,1,17,9,2,1
GAZP,1,plot,1_1,1,18,10,1,0
GAZP,1,plot,1_1,1,18,10,2,1
GAZP,1,plot,1_1,1,19,11,1,0
GAZP,1,plot,1_1,1,19,11,2,1
GAZP,1,plot,1_1,1,2,12,1,0
GAZP,1,plot,1_1,1,2,12,2,1
GAZP,1,plot,1_1,1,20,13,1,0
GAZP,1,plot,1_1,1,20,13,2,1
GAZP,1,plot,1_1,1,21,14,1,0
GAZP,1,plot,1_1,1,21,14,2,1
GAZP,1,plot,1_1,1,22,15,1,0
GAZP,1,plot,1_1,1,22,15,2,1
GAZP,1,plot,1_1,1,23,16,1,0
GAZP,1,plot,1_1,1,23,16,2,1
GAZP,1,plot,1_1,1,24,17,1,0
GAZP,1,plot,1_1,1,24,17,2,1
GAZP,1,plot,1_1,1,25,18,1,0
GAZP,1,plot,1_1,1,25,18,2,1
GAZP,1,plot,1_1,1,26,19,1,0
GAZP,1,plot,1_1,1,26,19,2,1
GAZP,1,plot,1_1,1,27,20,1,0
GAZP,1,plot,1_1,1,27,20,2,1
GAZP,1,plot,1_1,1,28,21,1,0
GAZP,1,plot,1_1,1,28,21,2,1
GAZP,1,plot,1_1,1,29,22,1,0
GAZP,1,plot,1_1,1,29,22,2,1
GAZP,1,plot,1_1,1,3,23,1,0
GAZP,1,plot,1_1,1,3,23,2,1
GAZP,1,plot,1_1,1,30,24,1,0
GAZP,1,plot,1_1,1,30,24,2,1
GAZP,1,plot,1_1,1,4,25,1,0
GAZP,1,plot,1_1,1,4,25,2,1
GAZP,1,plot,1_1,1,5,26,1,0
GAZP,1,plot,1_1,1,5,26,2,1
GAZP,1,plot,1_1,1,6,27,1,0
GAZP,1,plot,1_1,1,6,27,2,1
GAZP,1,plot,1_1,1,7,28,1,0
GAZP,1,plot,1_1,1,7,28,2,1
GAZP,1,plot,1_1,1,8,29,1,0
GAZP,1,plot,1_1,1,8,29,2,1
GAZP,1,plot,1_1,1,9,30,1,0
GAZP,1,plot,1_1,1,9,30,2,1
GAZP,1,plot,1_10,1,1,31,3,0
GAZP,1,plot,1_10,1,1,31,4,1
GAZP,1,plot,1_10,1,10,32,3,0
GAZP,1,plot,1_10,1,10,32,4,1
GAZP,1,plot,1_10,1,11,33,3,0
GAZP,1,plot,1_10,1,11,33,4,1
GAZP,1,plot,1_10,1,12,34,3,0
GAZP,1,plot,1_10,1,12,34,4,1
GAZP,1,plot,1_10,1,13,35,3,0
GAZP,1,plot,1_10,1,13,35,4,1
GAZP,1,plot,1_10,1,14,36,3,0
GAZP,1,plot,1_10,1,14,36,4,1
GAZP,1,plot,1_10,1,15,37,3,0
GAZP,1,plot,1_10,1,15,37,4,1
GAZP,1,plot,1_10,1,16,38,3,0
GAZP,1,plot,1_10,1,16,38,4,1
GAZP,1,plot,1_10,1,17,39,3,0
GAZP,1,plot,1_10,1,17,39,4,1
GAZP,1,plot,1_10,1,18,40,3,0
GAZP,1,plot,1_10,1,18,40,4,1
GAZP,1,plot,1_10,1,19,41,3,0
GAZP,1,plot,1_10,1,19,41,4,1
GAZP,1,plot,1_10,1,2,42,3,0
GAZP,1,plot,1_10,1,2,42,4,1
GAZP,1,plot,1_10,1,20,43,3,0
GAZP,1,plot,1_10,1,20,43,4,1
GAZP,1,plot,1_10,1,21,44,3,0
GAZP,1,plot,1_10,1,21,44,4,1
GAZP,1,plot,1_10,1,22,45,3,0
GAZP,1,plot,1_10,1,22,45,4,1
GAZP,1,plot,1_10,1,23,46,3,0
GAZP,1,plot,1_10,1,23,46,4,1
GAZP,1,plot,1_10,1,24,47,3,0
GAZP,1,plot,1_10,1,24,47,4,1
GAZP,1,plot,1_10,1,25,48,3,0
