area_key,parent_area_key,siteid,source_block,source_replicate,type,size,units,restoration_start_year,restoration_type,disturbance_end_year
block:166:10101,,166,10101,,block,,m2,2014,seeding,
plot:166:10101:462,block:166:10101,166,10101,462,plot,0.25,m2,2014,seeding,
plot:166:10101:542,block:166:10101,166,10101,542,plot,0.25,m2,2014,seeding,
block:166:10102,,166,10102,,block,,m2,2014,seeding,
plot:166:10102:461,block:166:10102,166,10102,461,plot,0.25,m2,2014,seeding,
plot:166:10102:501,block:166:10102,166,10102,501,plot,0.25,m2,2014,seeding,
plot:166:10102:541,block:166:10102,166,10102,541,plot,0.25,m2,2014,seeding,
block:166:10103,,166,10103,,block,,m2,2014,seeding,
plot:166:10103:143,block:166:10103,166,10103,143,plot,0.25,m2,2014,seeding,
plot:166:10103:63,block:166:10103,166,10103,63,plot,0.25,m2,2014,seeding,
block:166:10104,,166,10104,,block,,m2,2014,seeding,
plot:166:10104:102,block:166:10104,166,10104,102,plot,0.25,m2,2014,seeding,
plot:166:10104:142,block:166:10104,166,10104,142,plot,0.25,m2,2014,seeding,
block:166:10105,,166,10105,,block,,m2,2014,seeding,
plot:166:10105:461,block:166:10105,166,10105,461,plot,0.25,m2,2014,seeding,
plot:166:10105:501,block:166:10105,166,10105,501,plot,0.25,m2,2014,seeding,
plot:166:10105:541,block:166:10105,166,10105,541,plot,0.25,m2,2014,seeding,
block:166:10106,,166,10106,,block,,m2,2014,seeding,
plot:166:10106:453,block:166:10106,166,10106,453,plot,0.25,m2,2014,seeding,
plot:166:10106:543,block:166:10106,166,10106,543,plot,0.25,m2,2014,seeding,
block:166:10107,,166,10107,,block,,m2,2014,seeding,
plot:166:10107:462,block:166:10107,166,10107,462,plot,0.25,m2,2014,seeding,
plot:166:10107:542,block:166:10107,166,10107,542,plot,0.25,m2,2014,seeding,
block:166:10108,,166,10108,,block,,m2,2014,seeding,
plot:166:10108:143,block:166:10108,166,10108,143,plot,0.25,m2,2014,seeding,
plot:166:10108:63,block:166:10108,166,10108,63,plot,0.25,m2,2014,seeding,
block:166:10109,,166,10109,,block,,m2,2014,seeding,
plot:166:10109:101,block:166:10109,166,10109,101,plot,0.25,m2,2014,seeding,
plot:166:10109:141,block:166:10109,166,10109,141,plot,0.25,m2,2014,seeding,
plot:166:10109:61,block:166:10109,166,10109,61,plot,0.25,m2,2014,seeding,
block:166:10110,,166,10110,,block,,m2,2014,seeding,
plot:166:10110:142,block:166:10110,166,10110,142,plot,0.25,m2,2014,seeding,
plot:166:10110:62,block:166:10110,166,10110,62,plot,0.25,m2,2014,seeding,
block:166:10111,,166,10111,,block,,m2,2014,seeding,
plot:166:10111:143,block:166:10111,166,10111,143,plot,0.25,m2,2014,seeding,
plot:166:10111:63,block:166:10111,166,10111,63,plot,0.25,m2,2014,seeding,
block:166:10112,,166,10112,,block,,m2,2014,seeding,
plot:166:10112:101,block:166:10112,166,10112,101,plot,0.25,m2,2014,seeding,
plot:166:10112:141,block:166:10112,166,10112,141,plot,0.25,m2,2014,seeding,
plot:166:10112:61,block:166:10112,166,10112,61,plot,0.25,m2,2014,seeding,
block:166:10201,,166,10201,,block,,m2,2014,seeding,
plot:166:10201:102,block:166:10201,166,10201,102,plot,0.25,m2,2014,seeding,
plot:166:10201:142,block:166:10201,166,10201,142,plot,0.25,m2,2014,seeding,
block:166:10202,,166,10202,,block,,m2,2014,seeding,
plot:166:10202:463,block:166:10202,166,10202,463,plot,0.25,m2,2014,seeding,
plot:166:10202:543,block:166:10202,166,10202,543,plot,0.25,m2,2014,seeding,
block:166:10203,,166,10203,,block,,m2,2014,seeding,
plot:166:10203:502,block:166:10203,166,10203,502,plot,0.25,m2,2014,seeding,
plot:166:10203:542,block:166:10203,166,10203,542,plot,0.25,m2,2014,seeding,
block:166:10204,,166,10204,,block,,m2,2014,seeding,
plot:166:10204:461,block:166:10204,166,10204,461,plot,0.25,m2,2014,seeding,
plot:166:10204:501,block:166:10204,166,10204,501,plot,0.25,m2,2014,seeding,
plot:166:10204:541,block:166:10204,166,10204,541,plot,0.25,m2,2014,seeding,
block:166:10205,,166,10205,,block,,m2,2014,seeding,
plot:166:10205:463,block:166:10205,166,10205,463,plot,0.25,m2,2014,seeding,
plot:166:10205:543,block:166:10205,166,10205,543,plot,0.25,m2,2014,seeding,
block:166:10206,,166,10206,,block,,m2,2014,seeding,
plot:166:10206:462,block:166:10206,166,10206,462,plot,0.25,m2,2014,seeding,
plot:166:10206:542,block:166:10206,166,10206,542,plot,0.25,m2,2014,seeding,
block:166:10207,,166,10207,,block,,m2,2014,seeding,
plot:166:10207:143,block:166:10207,166,10207,143,plot,0.25,m2,2014,seeding,
plot:166:10207:63,block:166:10207,166,10207,63,plot,0.25,m2,2014,seeding,
block:166:10208,,166,10208,,block,,m2,2014,seeding,
plot:166:10208:101,block:166:10208,166,10208,101,plot,0.25,m2,2014,seeding,
plot:166:10208:141,block:166:10208,166,10208,141,plot,0.25,m2,2014,seeding,
plot:166:10208:61,block:166:10208,166,10208,61,plot,0.25,m2,2014,seeding,
block:166:10209,,166,10209,,block,,m2,2014,seeding,
plot:166:10209:462,block:166:10209,166,10209,462,plot,0.25,m2,2014,seeding,
plot:166:10209:542,block:166:10209,166,10209,542,plot,0.25,m2,2014,seeding,
block:166:10210,,166,10210,,block,,m2,2014,seeding,
plot:166:10210:143,block:166:10210,166,10210,143,plot,0.25,m2,2014,seeding,
plot:166:10210:63,block:166:10210,166,10210,63,plot,0.25,m2,2014,seeding,
block:166:10211,,166,10211,,block,,m2,2014,seeding,
