check,value,status
source_vegresult_rows,1220,information
prepared_vegresult_rows,1220,pass
ready_for_build_rows,1220,information
unready_vegresult_rows,0,pass
rows_missing_explicit_area_treatment,0,pass
prepared_block_areas,287,information
prepared_child_areas,1220,information
explicit_area_treatment_links,1566,information
species_requiring_review,0,pass
