database,projectid,areaid,treatmentid
GAZP,11,4065,579
GAZP,11,4066,579
GAZP,11,4064,579
GAZP,11,4069,625
GAZP,11,4069,626
GAZP,11,4070,663
GAZP,11,4070,664
GAZP,11,4071,567
GAZP,11,4071,568
GAZP,11,4067,549
GAZP,11,4067,550
GAZP,11,4068,557
GAZP,11,4068,558
GAZP,11,4074,557
GAZP,11,4074,558
GAZP,11,4075,567
GAZP,11,4075,568
GAZP,11,4076,549
GAZP,11,4076,550
GAZP,11,4072,663
GAZP,11,4072,664
GAZP,11,4073,625
GAZP,11,4073,626
GAZP,11,4077,663
GAZP,11,4077,664
GAZP,11,4078,567
GAZP,11,4078,568
GAZP,11,4079,557
GAZP,11,4079,558
GAZP,11,4080,549
GAZP,11,4080,550
GAZP,11,4081,625
GAZP,11,4081,626
GAZP,11,4084,553
GAZP,11,4084,554
GAZP,11,4085,561
GAZP,11,4085,562
GAZP,11,4086,571
GAZP,11,4086,572
GAZP,11,4082,659
GAZP,11,4082,660
GAZP,11,4083,545
GAZP,11,4083,546
GAZP,11,4089,561
GAZP,11,4089,562
GAZP,11,4090,545
GAZP,11,4090,546
GAZP,11,4091,553
GAZP,11,4091,554
GAZP,11,4087,571
GAZP,11,4087,572
GAZP,11,4088,659
GAZP,11,4088,660
GAZP,11,4094,553
GAZP,11,4094,554
GAZP,11,4095,545
GAZP,11,4095,546
GAZP,11,4096,659
GAZP,11,4096,660
GAZP,11,4092,571
GAZP,11,4092,572
GAZP,11,4093,561
GAZP,11,4093,562
GAZP,11,4099,633
GAZP,11,4099,634
GAZP,11,4100,615
GAZP,11,4100,616
GAZP,11,4101,651
GAZP,11,4101,652
GAZP,11,4097,641
GAZP,11,4097,642
GAZP,11,4098,623
GAZP,11,4098,624
GAZP,11,4102,651
GAZP,11,4102,652
GAZP,11,4103,641
GAZP,11,4103,642
GAZP,11,4104,623
GAZP,11,4104,624
GAZP,11,4105,633
GAZP,11,4105,634
GAZP,11,4106,615
GAZP,11,4106,616
GAZP,11,4109,615
GAZP,11,4109,616
GAZP,11,4110,633
GAZP,11,4110,634
GAZP,11,4111,641
GAZP,11,4111,642
GAZP,11,4107,651
GAZP,11,4107,652
GAZP,11,4108,623
GAZP,11,4108,624
GAZP,11,4114,645
GAZP,11,4114,646
GAZP,11,4115,637
GAZP,11,4115,638
GAZP,11,4116,629
GAZP,11,4116,630
GAZP,11,4112,655
GAZP,11,4112,656
GAZP,11,4113,619
GAZP,11,4113,620
GAZP,11,4119,645
GAZP,11,4119,646
GAZP,11,4120,619
GAZP,11,4120,620
GAZP,11,4121,637
GAZP,11,4121,638
GAZP,11,4117,655
GAZP,11,4117,656
GAZP,11,4118,629
GAZP,11,4118,630
GAZP,11,4122,645
GAZP,11,4122,646
GAZP,11,4123,619
GAZP,11,4123,620
GAZP,11,4124,637
GAZP,11,4124,638
GAZP,11,4125,655
GAZP,11,4125,656
GAZP,11,4126,629
GAZP,11,4126,630
GAZP,11,4129,625
GAZP,11,4129,626
GAZP,11,4130,549
GAZP,11,4130,550
GAZP,11,4131,557
GAZP,11,4131,558
GAZP,11,4127,567
GAZP,11,4127,568
GAZP,11,4128,663
GAZP,11,4128,664
GAZP,11,4132,625
GAZP,11,4132,626
GAZP,11,4133,549
GAZP,11,4133,550
GAZP,11,4134,567
GAZP,11,4134,568
GAZP,11,4135,557
GAZP,11,4135,558
GAZP,11,4136,663
GAZP,11,4136,664
GAZP,11,4139,663
GAZP,11,4139,664
GAZP,11,4140,625
GAZP,11,4140,626
GAZP,11,4141,557
GAZP,11,4141,558
GAZP,11,4137,549
GAZP,11,4137,550
GAZP,11,4138,567
GAZP,11,4138,568
GAZP,11,4142,545
GAZP,11,4142,546
GAZP,11,4143,571
GAZP,11,4143,572
GAZP,11,4144,659
GAZP,11,4144,660
GAZP,11,4145,553
GAZP,11,4145,554
GAZP,11,4146,561
GAZP,11,4146,562
GAZP,11,4149,571
GAZP,11,4149,572
GAZP,11,4150,545
GAZP,11,4150,546
GAZP,11,4151,561
GAZP,11,4151,562
GAZP,11,4147,553
GAZP,11,4147,554
GAZP,11,4148,659
GAZP,11,4148,660
GAZP,11,4154,553
GAZP,11,4154,554
GAZP,11,4155,571
GAZP,11,4155,572
GAZP,11,4156,561
GAZP,11,4156,562
GAZP,11,4152,659
GAZP,11,4152,660
GAZP,11,4153,545
GAZP,11,4153,546
GAZP,11,4159,651
GAZP,11,4159,652
GAZP,11,4160,633
GAZP,11,4160,634
GAZP,11,4161,641
GAZP,11,4161,642
GAZP,11,4157,615
GAZP,11,4157,616
GAZP,11,4158,623
GAZP,11,4158,624
GAZP,11,4164,623
GAZP,11,4164,624
GAZP,11,4165,633
GAZP,11,4165,634
GAZP,11,4166,615
GAZP,11,4166,616
GAZP,11,4162,641
GAZP,11,4162,642
GAZP,11,4163,651
GAZP,11,4163,652
GAZP,11,4169,615
GAZP,11,4169,616
GAZP,11,4170,641
GAZP,11,4170,642
GAZP,11,4171,651
GAZP,11,4171,652
GAZP,11,4167,623
GAZP,11,4167,624
GAZP,11,4168,633
GAZP,11,4168,634
GAZP,11,4172,645
GAZP,11,4172,646
GAZP,11,4173,629
GAZP,11,4173,630
GAZP,11,4174,637
GAZP,11,4174,638
GAZP,11,4175,655
GAZP,11,4175,656
GAZP,11,4176,619
GAZP,11,4176,620
GAZP,11,4177,637
GAZP,11,4177,638
GAZP,11,4178,655
GAZP,11,4178,656
GAZP,11,4179,629
GAZP,11,4179,630
GAZP,11,4180,645
GAZP,11,4180,646
GAZP,11,4181,619
GAZP,11,4181,620
GAZP,11,4184,629
GAZP,11,4184,630
GAZP,11,4185,645
GAZP,11,4185,646
GAZP,11,4186,637
GAZP,11,4186,638
GAZP,11,4182,655
GAZP,11,4182,656
GAZP,11,4183,619
GAZP,11,4183,620
GAZP,11,3545,590
GAZP,11,3546,586
GAZP,11,3547,596
GAZP,11,3548,600
GAZP,11,3549,582
GAZP,11,3550,590
GAZP,11,3551,596
GAZP,11,3552,582
GAZP,11,3553,586
GAZP,11,3554,600
GAZP,11,3555,596
GAZP,11,3556,586
GAZP,11,3557,590
GAZP,11,3558,582
GAZP,11,3559,600
GAZP,11,3560,600
GAZP,11,3561,596
GAZP,11,3562,586
GAZP,11,3563,590
GAZP,11,3564,582
GAZP,11,3565,586
GAZP,11,3566,582
GAZP,11,3567,600
GAZP,11,3568,596
GAZP,11,3569,590
GAZP,11,3570,586
GAZP,11,3571,600
GAZP,11,3572,596
GAZP,11,3573,590
GAZP,11,3574,582
GAZP,11,3575,600
GAZP,11,3576,596
GAZP,11,3577,586
GAZP,11,3578,590
GAZP,11,3579,582
GAZP,11,3580,596
GAZP,11,3581,600
GAZP,11,3582,582
GAZP,11,3583,590
GAZP,11,3584,586
GAZP,11,3585,600
GAZP,11,3586,586
GAZP,11,3587,582
GAZP,11,3588,590
GAZP,11,3589,596
GAZP,11,4189,596
GAZP,11,4190,600
GAZP,11,4191,582
