database,projectid,object_type,source_treatmentid,source_treatment_event_key,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,11,plot,11_29,11_29::event_01,712,142,3498,579,0
GAZP,11,plot,11_29,11_29::event_01,713,123,3499,579,0
GAZP,11,plot,11_29,11_29::event_01,713,143,3500,579,0
GAZP,11,plot,11_29,11_29::event_01,714,21,3501,579,0
GAZP,11,plot,11_29,11_29::event_01,714,41,3502,579,0
GAZP,11,plot,11_29,11_29::event_01,715,123,3503,579,0
GAZP,11,plot,11_29,11_29::event_01,715,143,3504,579,0
GAZP,11,plot,11_29,11_29::event_01,716,122,3505,579,0
GAZP,11,plot,11_29,11_29::event_01,716,142,3506,579,0
GAZP,11,plot,11_29,11_29::event_01,717,21,3507,579,0
GAZP,11,plot,11_29,11_29::event_01,717,41,3508,579,0
GAZP,11,plot,11_29,11_29::event_01,718,121,3509,579,0
GAZP,11,plot,11_29,11_29::event_01,718,141,3510,579,0
GAZP,11,plot,11_27,11_27::event_01,801,23,3511,577,0
GAZP,11,plot,11_27,11_27::event_01,801,43,3512,577,0
GAZP,11,plot,11_27,11_27::event_01,802,122,3513,577,0
GAZP,11,plot,11_27,11_27::event_01,802,142,3514,577,0
GAZP,11,plot,11_27,11_27::event_01,803,22,3515,577,0
GAZP,11,plot,11_27,11_27::event_01,803,42,3516,577,0
GAZP,11,plot,11_27,11_27::event_01,804,123,3517,577,0
GAZP,11,plot,11_27,11_27::event_01,804,143,3518,577,0
GAZP,11,plot,11_27,11_27::event_01,805,121,3519,577,0
GAZP,11,plot,11_27,11_27::event_01,805,141,3520,577,0
GAZP,11,plot,11_27,11_27::event_01,806,23,3521,577,0
GAZP,11,plot,11_27,11_27::event_01,806,43,3522,577,0
GAZP,11,plot,11_27,11_27::event_01,808,121,3523,577,0
GAZP,11,plot,11_27,11_27::event_01,808,141,3524,577,0
GAZP,11,plot,11_27,11_27::event_01,809,121,3525,577,0
GAZP,11,plot,11_27,11_27::event_01,809,141,3526,577,0
GAZP,11,plot,11_29,11_29::event_01,810,123,3527,579,0
GAZP,11,plot,11_29,11_29::event_01,810,143,3528,579,0
GAZP,11,plot,11_29,11_29::event_01,811,22,3529,579,0
GAZP,11,plot,11_29,11_29::event_01,811,42,3530,579,0
GAZP,11,plot,11_29,11_29::event_01,812,22,3531,579,0
GAZP,11,plot,11_29,11_29::event_01,812,42,3532,579,0
GAZP,11,plot,11_29,11_29::event_01,813,123,3533,579,0
GAZP,11,plot,11_29,11_29::event_01,813,143,3534,579,0
GAZP,11,plot,11_29,11_29::event_01,814,21,3535,579,0
GAZP,11,plot,11_29,11_29::event_01,814,41,3536,579,0
GAZP,11,plot,11_29,11_29::event_01,815,23,3537,579,0
GAZP,11,plot,11_29,11_29::event_01,815,43,3538,579,0
GAZP,11,plot,11_29,11_29::event_01,816,22,3539,579,0
GAZP,11,plot,11_29,11_29::event_01,816,42,3540,579,0
GAZP,11,plot,11_29,11_29::event_01,817,21,3541,579,0
GAZP,11,plot,11_29,11_29::event_01,817,41,3542,579,0
GAZP,11,plot,11_29,11_29::event_01,818,21,3543,579,0
GAZP,11,plot,11_29,11_29::event_01,818,41,3544,579,0
GAZP,11,plot,11_38,11_38::event_01,1101,13,3545,590,0
GAZP,11,plot,11_34,11_34::event_01,1101,23,3546,586,0
GAZP,11,plot,11_42,11_42::event_01,1101,33,3547,596,0
GAZP,11,plot,11_46,11_46::event_01,1101,43,3548,600,0
GAZP,11,plot,11_30,11_30::event_01,1101,53,3549,582,0
GAZP,11,plot,11_38,11_38::event_01,1102,12,3550,590,0
GAZP,11,plot,11_42,11_42::event_01,1102,22,3551,596,0
GAZP,11,plot,11_30,11_30::event_01,1102,32,3552,582,0
GAZP,11,plot,11_34,11_34::event_01,1102,42,3553,586,0
GAZP,11,plot,11_46,11_46::event_01,1102,52,3554,600,0
GAZP,11,plot,11_42,11_42::event_01,1103,12,3555,596,0
GAZP,11,plot,11_34,11_34::event_01,1103,22,3556,586,0
GAZP,11,plot,11_38,11_38::event_01,1103,32,3557,590,0
GAZP,11,plot,11_30,11_30::event_01,1103,42,3558,582,0
GAZP,11,plot,11_46,11_46::event_01,1103,52,3559,600,0
GAZP,11,plot,11_46,11_46::event_01,1104,113,3560,600,0
GAZP,11,plot,11_42,11_42::event_01,1104,123,3561,596,0
GAZP,11,plot,11_34,11_34::event_01,1104,133,3562,586,0
GAZP,11,plot,11_38,11_38::event_01,1104,143,3563,590,0
GAZP,11,plot,11_30,11_30::event_01,1104,153,3564,582,0
GAZP,11,plot,11_34,11_34::event_01,1105,11,3565,586,0
GAZP,11,plot,11_30,11_30::event_01,1105,21,3566,582,0
GAZP,11,plot,11_46,11_46::event_01,1105,31,3567,600,0
GAZP,11,plot,11_42,11_42::event_01,1105,41,3568,596,0
GAZP,11,plot,11_38,11_38::event_01,1105,51,3569,590,0
GAZP,11,plot,11_34,11_34::event_01,1106,113,3570,586,0
GAZP,11,plot,11_46,11_46::event_01,1106,123,3571,600,0
GAZP,11,plot,11_42,11_42::event_01,1106,133,3572,596,0
GAZP,11,plot,11_38,11_38::event_01,1106,143,3573,590,0
GAZP,11,plot,11_30,11_30::event_01,1106,153,3574,582,0
GAZP,11,plot,11_46,11_46::event_01,1107,12,3575,600,0
GAZP,11,plot,11_42,11_42::event_01,1107,22,3576,596,0
GAZP,11,plot,11_34,11_34::event_01,1107,32,3577,586,0
GAZP,11,plot,11_38,11_38::event_01,1107,42,3578,590,0
GAZP,11,plot,11_30,11_30::event_01,1107,52,3579,582,0
GAZP,11,plot,11_42,11_42::event_01,1108,11,3580,596,0
GAZP,11,plot,11_46,11_46::event_01,1108,21,3581,600,0
GAZP,11,plot,11_30,11_30::event_01,1108,31,3582,582,0
GAZP,11,plot,11_38,11_38::event_01,1108,41,3583,590,0
GAZP,11,plot,11_34,11_34::event_01,1108,51,3584,586,0
