schema,source_database,projectids,exported_at,table,file,row_count,column_count,sha256
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,treatment_material,grp_treatment_material.csv,0,2,e24ee5f6f9ebe6183b2923181eab5765eaced6c21b884af12983a6e92e6ba9ad
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,treatment_medium,grp_treatment_medium.csv,266,7,0cf1bb9901f1c674ee67cdb0760dd033d3c803b196418b4e07191e5830eb0b25
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,treatment_mowing,grp_treatment_mowing.csv,0,7,e7c8056ffbbf41b88815cec2f71388e19dc8b867bcca2c97e38b9513385dc6c4
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,treatment_prep,grp_treatment_prep.csv,324,2,5ecd12a7ecb8a6e68200bdea6e5fdb465a63361aad8109a45715809520ae5958
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,seed_mix,grp_seed_mix.csv,248,6,255d7f032f70db5e2dc6df3b183de0580857b92d8798b2f2bcab51474f4a1e55
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,seeding,grp_seeding.csv,3234,14,f759148577f20d2e99e09f8fd55c43b75fee5d16c94988000d508d2ca87584e7
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,seeding_pretreatment,grp_seeding_pretreatment.csv,100,2,3587acdb05330bd7fcbb64a6d3c7ac79f8414a18a82b0be2e7fe08aacbcfd0cd
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,veg_result,grp_veg_result.csv,4054,14,7486f0eb857d7d99f15e8dad7c25440a52c6ee97366ad05ae455afd7dceea6aa
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,species,grp_species.csv,66,10,be9e150e6fe534b5287aaa79de64aaaee2ec15bf843fcf6f34aef340b6caef2b
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,species_names,grp_species_names.csv,80,3,8d636f271a177f6970d9559e13033b50dad0865d35918d9ae8f8d54b6040c4f6
grp,GAZP,1;2;3;5,2026-08-13T13:25:41-0700,cultivar,grp_cultivar.csv,0,6,713a883269b48d94130f79b6d9c89a85d0b6ce96b183b7461174ab068c4654b7
