treatmentid,type
63,pulling
64,pulling
65,pulling
74,pulling
105,pulling
106,pulling
107,pulling
116,pulling
147,pulling
148,pulling
149,pulling
158,pulling
185,pulling
186,pulling
187,pulling
196,pulling
