database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,10,block,10_1,1,NA,3041,539,0
GAZP,10,block,10_1,2,NA,3042,539,0
GAZP,10,block,10_3,2,NA,3042,541,0
GAZP,10,block,10_2,3,NA,3043,540,0
GAZP,10,block,10_1,4,NA,3044,539,0
GAZP,10,block,10_1,5,NA,3045,539,0
GAZP,10,block,10_3,5,NA,3045,541,0
GAZP,10,block,10_2,6,NA,3046,540,0
GAZP,10,block,10_4,6,NA,3046,542,0
GAZP,10,block,10_1,7,NA,3047,539,0
GAZP,10,block,10_3,7,NA,3047,541,0
GAZP,10,block,10_2,8,NA,3048,540,0
GAZP,10,block,10_2,9,NA,3049,540,0
GAZP,10,block,10_4,9,NA,3049,542,0
GAZP,10,block,10_1,10,NA,3050,539,0
GAZP,10,block,10_2,11,NA,3051,540,0
GAZP,10,block,10_1,12,NA,3052,539,0
GAZP,10,block,10_3,12,NA,3052,541,0
GAZP,10,block,10_1,13,NA,3053,539,0
GAZP,10,block,10_3,13,NA,3053,541,0
GAZP,10,block,10_1,14,NA,3054,539,0
GAZP,10,block,10_1,15,NA,3055,539,0
GAZP,10,block,10_3,15,NA,3055,541,0
GAZP,10,block,10_2,16,NA,3056,540,0
GAZP,10,block,10_4,16,NA,3056,542,0
GAZP,10,block,10_1,17,NA,3057,539,0
GAZP,10,block,10_2,18,NA,3058,540,0
GAZP,10,block,10_4,18,NA,3058,542,0
GAZP,10,block,10_2,19,NA,3059,540,0
GAZP,10,block,10_4,19,NA,3059,542,0
GAZP,10,block,10_2,20,NA,3060,540,0
GAZP,10,block,10_4,20,NA,3060,542,0
GAZP,10,block,10_1,21,NA,3061,539,0
GAZP,10,block,10_3,21,NA,3061,541,0
GAZP,10,block,10_2,22,NA,3062,540,0
GAZP,10,block,10_2,23,NA,3063,540,0
GAZP,10,block,10_1,24,NA,3064,539,0
GAZP,10,block,10_2,25,NA,3065,540,0
GAZP,10,plot,10_1,1,1,3066,539,0
GAZP,10,plot,10_1,1,2,3067,539,0
GAZP,10,plot,10_1,2,1,3068,539,0
GAZP,10,plot,10_3,2,1,3068,541,0
GAZP,10,plot,10_1,2,2,3069,539,0
GAZP,10,plot,10_3,2,2,3069,541,0
GAZP,10,plot,10_2,3,1,3070,540,0
GAZP,10,plot,10_2,3,2,3071,540,0
GAZP,10,plot,10_1,4,1,3072,539,0
GAZP,10,plot,10_1,4,2,3073,539,0
GAZP,10,plot,10_1,5,1,3074,539,0
GAZP,10,plot,10_3,5,1,3074,541,0
GAZP,10,plot,10_1,5,2,3075,539,0
GAZP,10,plot,10_3,5,2,3075,541,0
GAZP,10,plot,10_2,6,1,3076,540,0
GAZP,10,plot,10_4,6,1,3076,542,0
GAZP,10,plot,10_2,6,2,3077,540,0
GAZP,10,plot,10_4,6,2,3077,542,0
GAZP,10,plot,10_1,7,1,3078,539,0
GAZP,10,plot,10_3,7,1,3078,541,0
