database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,3,plot,3_1,1,1,914,205,0
GAZP,3,plot,3_1,1,2,915,205,0
GAZP,3,plot,3_1,1,3,916,205,0
GAZP,3,plot,3_1,1,4,917,205,0
GAZP,3,plot,3_1,1,5,918,205,0
GAZP,3,plot,3_1,1,6,919,205,0
GAZP,3,plot,3_1,1,7,920,205,0
GAZP,3,plot,3_1,1,8,921,205,0
GAZP,3,plot,3_1,1,9,922,205,0
GAZP,3,plot,3_2,1,1,923,206,0
GAZP,3,plot,3_2,1,2,924,206,0
GAZP,3,plot,3_2,1,3,925,206,0
GAZP,3,plot,3_2,1,4,926,206,0
GAZP,3,plot,3_2,1,5,927,206,0
GAZP,3,plot,3_2,1,6,928,206,0
GAZP,3,plot,3_2,1,7,929,206,0
GAZP,3,plot,3_2,1,8,930,206,0
GAZP,3,plot,3_2,1,9,931,206,0
GAZP,3,plot,3_3,1,1,932,207,0
GAZP,3,plot,3_3,1,2,933,207,0
GAZP,3,plot,3_3,1,3,934,207,0
GAZP,3,plot,3_3,1,4,935,207,0
GAZP,3,plot,3_3,1,5,936,207,0
GAZP,3,plot,3_3,1,6,937,207,0
GAZP,3,plot,3_3,1,7,938,207,0
GAZP,3,plot,3_3,1,8,939,207,0
GAZP,3,plot,3_3,1,9,940,207,0
