database,projectid,project_code,crosswalk_row_type,rule_source_table,source_table,source_column,source_value_type,source_value,source_occurrences,speciesid,accepted_species_code,accepted_species_name,mapping_status,reverse_mapping_rule,match_rate,match_unit,contextual_rule_validated,global_source_code_count,global_source_codes,review_required,reviewed,decision_note
GAZP,6,GAZP6,default,all_relevant_tables,site,invasivespe,scientific_name,Elytropappus rhinocerotis,3,679,Dic_rhi,Dicerothamnus rhinocerotis,synonym_or_name_update,speciesid,,,TRUE,,,FALSE,TRUE,Elytropappus rhinocerotis is retained as the source name. It maps to the accepted taxon Dicerothamnus rhinocerotis.
GAZP,6,GAZP6,default,all_relevant_tables,site,invasivespe,scientific_name,Galenia africana,3,1644,Gal_afr,Galenia africana,exact_current_taxon,speciesid,,,TRUE,,,FALSE,FALSE,Source name exactly matches the accepted GRP species name.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Aiz_can,66,1634,Aiz_can,Aizoon canariense,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Cha_inv,33,5495,Cha_inv,Chaetobromus involucratus,human_reviewed_same_taxon,speciesid,,,TRUE,2,Cha_inv;Cha_inv1,FALSE,TRUE,Reviewed for GAZP6; Cha_inv represents Chaetobromus involucratus.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Che_den,33,1638,Che_den,Cheiridopsis denticulata,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Con_elo,33,1639,Con_elo,Conicosia elongata,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Dro_his,66,1641,Dro_his,Drosanthemum hispidum,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Ehr_cal,33,5563,Ehr_cal,Ehrharta calycina,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,Eri_mic,66,742,Eri_mic,Eriocephalus microphyllus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,6,GAZP6,default,all_relevant_tables,trtrates,speciesid,species_code,G_Res_spp,33,6008,G_Res_spp,Restio spp,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
